# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
85.4000,0.0489,0.0441,76.2202,107.0162
85.6000,0.0488,0.0440,76.2187,107.0140
85.8000,0.0488,0.0440,76.2172,107.0119
86.0000,0.0487,0.0439,76.2156,107.0097
86.2000,0.0487,0.0439,76.2141,107.0075
86.4000,0.0486,0.0438,76.2126,107.0054
86.6000,0.0486,0.0438,76.2110,107.0032
86.8000,0.0485,0.0437,76.2095,107.0011
87.0000,0.0485,0.0437,76.2080,106.9989
87.2000,0.0484,0.0437,76.2064,106.9968
87.4000,0.0484,0.0436,76.2049,106.9946
87.6000,0.0483,0.0436,76.2033,106.9925
87.8000,0.0483,0.0435,76.2018,106.9903
88.0000,0.0482,0.0435,76.2003,106.9882
88.2000,0.0482,0.0434,76.1987,106.9860
88.4000,0.0481,0.0434,76.1972,106.9838
88.6000,0.0481,0.0434,76.1957,106.9817
88.8000,0.0481,0.0433,76.1941,106.9795
89.0000,0.0480,0.0433,76.1926,106.9774
89.2000,0.0480,0.0432,76.1911,106.9752
89.4000,0.0479,0.0432,76.1895,106.9731
89.6000,0.0479,0.0432,76.1880,106.9709
89.8000,0.0478,0.0431,76.1865,106.9688
90.0000,0.0478,0.0431,76.1849,106.9666
90.2000,0.0477,0.0430,76.1834,106.9645
90.4000,0.0477,0.0430,76.1819,106.9623
90.6000,0.0476,0.0430,76.1803,106.9601
90.8000,0.0476,0.0429,76.1788,106.9580
91.0000,0.0476,0.0429,76.1773,106.9558
91.2000,0.0475,0.0428,76.1757,106.9537
91.4000,0.0475,0.0428,76.1742,106.9515
91.6000,0.0474,0.0428,76.1727,106.9494
91.8000,0.0474,0.0427,76.1711,106.9472
92.0000,0.0473,0.0427,76.1696,106.9451
92.2000,0.0473,0.0426,76.1681,106.9429
92.4000,0.0473,0.0426,76.1665,106.9408
92.6000,0.0472,0.0426,76.1650,106.9386
92.8000,0.0472,0.0425,76.1634,106.9364
93.0000,0.0471,0.0425,76.1619,106.9343
93.2000,0.0471,0.0424,76.1604,106.9321
93.4000,0.0470,0.0424,76.1588,106.9300
93.6000,0.0470,0.0424,76.1573,106.9278
93.8000,0.0470,0.0423,76.1558,106.9257
94.0000,0.0469,0.0423,76.1542,106.9235
94.2000,0.0469,0.0423,76.1527,106.9214
94.4000,0.0468,0.0422,76.1512,106.9192
94.6000,0.0468,0.0422,76.1496,106.9171
94.8000,0.0468,0.0421,76.1481,106.9149
95.0000,0.0467,0.0421,76.1466,106.9128
95.2000,0.0467,0.0421,76.1450,106.9106
95.4000,0.0466,0.0420,76.1435,106.9085
95.6000,0.0466,0.0420,76.1420,106.9063
95.8000,0.0465,0.0420,76.1404,106.9041
96.0000,0.0465,0.0419,76.1389,106.9020
96.2000,0.0465,0.0419,76.1374,106.8998
96.4000,0.0464,0.0419,76.1358,106.8977
96.6000,0.0464,0.0418,76.1343,106.8955
96.8000,0.0463,0.0418,76.1328,106.8934
97.0000,0.0463,0.0417,76.1312,106.8912
97.2000,0.0463,0.0417,76.1297,106.8891
97.4000,0.0462,0.0417,76.1282,106.8869
97.6000,0.0462,0.0416,76.1266,106.8848
97.8000,0.0462,0.0416,76.1251,106.8826
98.0000,0.0461,0.0416,76.1236,106.8805
98.2000,0.0461,0.0415,76.1220,106.8783
98.4000,0.0460,0.0415,76.1205,106.8762
98.6000,0.0460,0.0415,76.1190,106.8740
98.8000,0.0460,0.0414,76.1174,106.8718
99.0000,0.0459,0.0414,76.1159,106.8697
99.2000,0.0459,0.0414,76.1144,106.8675
99.4000,0.0458,0.0413,76.1128,106.8654
99.6000,0.0458,0.0413,76.1113,106.8632
99.8000,0.0458,0.0413,76.1098,106.8611
100.0000,0.0457,0.0412,76.1082,106.8589
100.2000,0.0457,0.0412,76.1067,106.8568
100.4000,0.0457,0.0412,76.1052,106.8546
100.6000,0.0456,0.0411,76.1036,106.8525
100.8000,0.0456,0.0411,76.1021,106.8503
101.0000,0.0455,0.0411,76.1006,106.8482
101.2000,0.0455,0.0410,76.0990,106.8460
101.4000,0.0455,0.0410,76.0975,106.8439
101.6000,0.0454,0.0410,76.0960,106.8417
101.8000,0.0454,0.0409,76.0944,106.8396
102.0000,0.0454,0.0409,76.0929,106.8374
102.2000,0.0453,0.0409,76.0914,106.8353
102.4000,0.0453,0.0408,76.0898,106.8331
